458510,OnlyInAmerica,Berkeley - CA,123,82
458512,tundro,Durham - NC,0,0
458515,rmela,Lexington - MA - USA,1,11
458516,abuzarhamza,in front of my computer,3,13
458518,sunitj,Ann Arbor,12,12
458523,electricg,Brighton - UK,45,51
458524,s2b,Aachen,4,10
458529,randyburden,Dallas - TX,8,17
458534,guardly,Toronto - Canada,0,3
458535,josselinauguste,Bordeaux - France,3,20
458536,casalaina,Amsterdam - NL,1,0
458539,Saberre,Korea,26,16
458541,olegantoniuk,Ukraine,0,3
458546,atomt,Lrenskog - Norway,1,2
458548,SuperTux88,Root,30,57
458549,cbetz,Philadelphia - PA,4,13
458551,chisaipete,Hillsboro - OR,1,6
458553,nolandubeau,Toronto - ON Canada,3,6
458556,webmais,Pedro Leopoldo/MG - Brazil,0,1
458560,desecho,Montral - Canada,2,26
458562,baratieri,Brazil,1,2
458566,Qwertylex,New Jersey,14,33
458573,meefen,Minneapolis - US,29,29
458578,EtotheZ,Toronto - ON,3,0
458580,waaghals,The Netherlands,10,32
458586,jessehs,Portland - Oregon - USA,4,6
458591,philipp-spiess,Vienna - AT,20,50
458596,gseilheimer,Ortenaukreis,15,30
458600,tdudziak,Saarbrcken,7,19
458603,wschwaiger,Salzburg,0,2
458604,alexconlin,London,1,14
458605,blakem,San Francisco,1,14
458608,palmor,Monterrey,6,6
458609,bellaga,Brooklyn - NY,0,0
458613,kyleblakewilson,Minneapolis,1,3
458614,Urthen,Austin - TX,4,25
458616,lizrice,London,6,22
458619,mindeffects,Cologne - Germany,6,8
458626,jferrie,Oakland - CA,3,2
458633,somanho1234,Vancouver - BC - Canada,0,0
458636,fberci,Budapest - Hungary,1,1
458643,Gardn,MSU,0,3
458654,rochacbruno,So Paulo - Brazil,566,32
458655,gitcarver,Internet(s),0,2
458657,a2bcall,Campbell River - BC,0,1
458659,rwsharpe,Toronto,0,1
458666,awpr,Mountain View - CA,6,12
458674,BiCzar,Atlanta  - GA,0,1
458678,aprilb,Portland - Oregon,20,67
458680,ozinal,London,4,16
458684,npanau,Nantes - France,4,15
458686,VladimirRP,Russia - Moscow,3,3
458687,Aloisius,San Francisco - CA,32,5
458688,abalbin,Lima,1,20
458691,Trinovantes,Toronto - Canada,14,7
458692,bill-tuba,Here,2,9
458696,alaincollet,France,0,2
458704,Akoden,Switzerland,0,2
458705,blueboxgroup,Seattle - WA,0,64
458706,houserock,Germany,0,2
458707,noelo,Sydney,8,48
458710,ski,London,4,10
458712,seeingidog,San Francisco,50,78
458714,wemakeweb,Worldwide / Remote,8,26
458717,jgrund,Orlando - Florida,9,45
458722,aubonbeurre,San Jose - USA,1,30
458728,LimbeLabs,Cameroon,0,1
458735,patricklynch,Santa Monica - CA,10,14
458739,manachar,Makawao - Hawaii,2,1
458743,aaronwestre,Minneapolis - Minnesota - USA,1,1
458746,Buddybeers,Berlin,0,0
458758,electricvino,Lewisville - TX,3,6
458761,KelleyTG,PAC RIM,0,1
458765,shall,Australia,6,0
458769,thiagosd,nyc,0,2
458770,rexsorgatz,New York City,0,1
458777,tpyo,Cape Town - South Africa,34,2
458782,kizmetau,Canberra - Australia,0,0
458783,martingms,Oslo - Norway,19,21
458794,mapq,Blacksburg - VA,7,5
458797,Veodin,Wales,1,3
458798,anuarcs,Mxico -9,8,
458809,gapple,BC - Canada,6,46
458813,thanpolas,Thessaloniki - Greece,140,163
458814,janj,United States,2,3
458815,kabilya,Brisbane - Australia,0,5
